Northern Hemisphere Land Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
188001,-0.23
188002,-0.83
188003,-0.91
188004,-0.43
188005,-0.17
188006,-0.15
188007,-0.29
188008,-0.31
188009,-0.43
188010,-0.72
188011,-1.15
188012,-0.80
188101,-0.58
188102,-0.54
188103,-0.25
188104,-0.10
188105,-0.05
188106,-0.55
188107,-0.29
188108,-0.05
188109,-0.55
188110,-1.07
188111,-1.21
188112,-0.35
188201,0.09
188202,-0.20
188203,-0.21
188204,-0.93
188205,-0.64
188206,-0.45
188207,-0.47
188208,-0.03
188209,-0.33
188210,-1.16
188211,-0.71
188212,-0.84
188301,-1.60
188302,-1.76
188303,-0.80
188304,-0.82
188305,-0.57
188306,-0.13
188307,-0.41
188308,-0.42
188309,-0.52
188310,-0.76
188311,-0.99
188312,-0.49
188401,-0.60
188402,-1.02
188403,-1.28
188404,-0.95
188405,-0.52
188406,-0.48
188407,-0.71
188408,-0.90
188409,-0.93
188410,-0.74
188411,-1.09
188412,-0.54
188501,-1.80
188502,-0.83
188503,-0.41
188504,-0.59
188505,-0.66
188506,-0.45
188507,-0.41
188508,-0.67
188509,-0.61
188510,-0.66
188511,-0.31
188512,0.28
188601,-0.72
188602,-1.21
188603,-0.99
188604,-0.34
188605,-0.42
188606,-0.39
188607,-0.13
188608,-0.38
188609,-0.48
188610,-0.80
188611,-0.90
188612,0.22
188701,-1.51
188702,-1.02
188703,-0.29
188704,-0.41
188705,0.02
188706,-0.47
188707,-0.30
188708,-0.67
188709,-0.14
188710,-0.79
188711,-0.21
188712,-0.16
188801,-1.07
188802,-0.89
188803,-0.85
188804,-0.20
188805,-0.40
188806,-0.37
188807,-0.17
188808,-0.53
188809,-0.34
188810,-0.17
188811,-0.68
188812,-0.42
188901,-0.83
188902,-0.08
188903,0.10
188904,0.32
188905,-0.33
188906,-0.17
188907,-0.17
188908,-0.14
188909,-0.48
188910,-0.86
188911,-1.19
188912,-0.47
189001,-0.82
189002,-0.79
189003,-0.70
189004,-0.32
189005,-0.82
189006,-0.38
189007,-0.08
189008,-0.33
189009,-0.53
189010,-0.36
189011,-1.05
189012,-0.68
189101,-0.91
189102,-1.47
189103,-0.36
189104,-0.58
189105,-0.51
189106,-0.47
189107,-0.20
189108,-0.30
189109,-0.12
189110,-0.79
189111,-1.12
189112,0.21
189201,-0.76
189202,-0.49
189203,-0.92
189204,-0.77
189205,-0.39
189206,-0.15
189207,-0.34
189208,-0.42
189209,-0.22
189210,-0.26
189211,-1.41
189212,-0.91
189301,-2.55
189302,-2.00
189303,-0.27
189304,-0.50
189305,-0.62
189306,-0.13
189307,-0.19
189308,-0.39
189309,-0.11
189310,-0.33
189311,-0.08
189312,-0.45
189401,-1.02
189402,0.00
189403,-0.02
189404,-0.69
189405,-0.21
189406,-0.41
189407,-0.31
189408,-0.34
189409,-0.37
189410,-0.48
189411,-0.81
189412,-0.41
189501,-1.36
189502,-1.16
189503,-0.53
189504,0.00
189505,-0.36
189506,-0.42
189507,-0.24
189508,-0.50
189509,-0.22
189510,-0.31
189511,-0.35
