Southern Hemisphere Land Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
188001,-0.59
188002,-0.40
188003,-0.43
188004,-0.54
188005,-0.58
188006,-0.33
188007,-0.49
188008,-0.19
188009,-0.68
188010,-0.93
188011,-0.42
188012,-0.28
188101,-0.72
188102,-0.37
188103,-0.23
188104,-0.43
188105,-0.38
188106,-0.72
188107,-0.68
188108,-0.43
188109,-0.30
188110,-0.45
188111,-0.44
188112,-0.15
188201,-0.31
188202,-0.49
188203,-0.47
188204,-0.51
188205,-0.56
188206,-0.89
188207,-0.73
188208,-0.32
188209,-0.38
188210,-0.03
188211,-0.31
188212,-0.61
188301,-0.34
188302,-0.66
188303,-0.39
188304,-0.53
188305,-0.65
188306,0.26
188307,-0.31
188308,-0.28
188309,-0.58
188310,-0.61
188311,-0.59
188312,-0.47
188401,-0.61
188402,-0.42
188403,-0.08
188404,-0.45
188405,-0.93
188406,-0.58
188407,-0.80
188408,0.14
188409,-0.36
188410,-0.58
188411,-0.37
188412,-0.65
188501,-0.48
188502,-0.77
188503,-1.01
188504,-0.94
188505,-0.58
188506,-1.09
188507,-0.89
188508,-0.43
188509,-0.29
188510,-0.03
188511,-0.23
188512,-0.06
188601,-0.15
188602,-0.59
188603,-0.25
188604,-0.57
188605,-0.64
188606,-0.79
188607,-0.47
188608,-0.42
188609,-0.24
188610,-0.82
188611,-0.33
188612,-0.50
188701,-0.18
188702,-0.74
188703,-0.50
188704,-0.76
188705,-0.92
188706,-0.63
188707,-0.62
188708,-0.35
188709,-0.60
188710,-0.50
188711,-0.60
188712,-0.44
188801,-0.20
188802,-0.52
188803,-0.76
188804,-0.18
188805,-0.69
188806,-0.54
188807,-0.43
188808,-0.42
188809,-0.26
188810,-0.30
188811,0.18
188812,0.18
188901,-0.19
188902,-0.16
188903,0.06
188904,-0.29
188905,-0.32
188906,-0.46
188907,-0.52
188908,-0.69
188909,-0.42
188910,-0.12
188911,-0.04
188912,-0.05
189001,-0.44
189002,-0.49
189003,-0.33
189004,-0.40
189005,-0.66
189006,-0.55
189007,-0.73
189008,-0.76
189009,-0.57
189010,-0.43
189011,-0.61
189012,-0.37
189101,-0.75
189102,-0.85
189103,-0.44
189104,-0.70
189105,-0.35
189106,-0.74
189107,-0.92
189108,-0.93
189109,-0.84
189110,-0.55
189111,-0.33
189112,-0.41
189201,-0.29
189202,0.01
189203,-0.05
189204,-0.71
189205,-0.88
189206,-0.81
189207,-0.49
189208,-0.37
189209,-0.71
189210,-0.37
189211,-0.19
189212,-0.45
189301,-0.35
189302,-0.59
189303,-0.16
189304,-0.65
189305,-0.57
189306,-1.06
189307,-0.25
189308,-0.49
189309,-0.57
189310,-0.40
189311,-0.33
189312,-0.04
189401,-0.23
189402,-0.50
189403,-0.44
189404,-0.56
189405,-0.81
189406,-0.89
189407,-0.78
189408,-0.67
189409,-0.59
189410,-0.62
189411,-0.19
189412,-0.37
189501,-0.74
189502,-0.46
189503,-0.18
189504,-0.36
189505,-0.61
189506,-0.33
189507,-0.64
189508,-0.19
189509,-0.31
189510,-0.12
189511,-0.35
189512,0.08
189601,-0.10
189602,-0.26
189603,-0.20
189604,-0.24
189605,-0.55
189606,-0.89
189607,-0.43
189608,-0.21
189609,-0.44
189610,0.19
189611,-0.10
189612,0.11
189701,-0.27
189702,-0.14
189703,-0.02
189704,0.23
189705,-0.36
189706,-0.02
189707,-0.33
189708,-0.51
189709,-0.39
189710,-0.05
189711,0.26
189712,0.08
189801,-0.15
189802,-0.44
189803,-0.37
189804,-0.71
189805,-0.98
189806,-0.22
189807,-0.61
189808,-0.52
189809,-0.27
189810,-0.64
189811,-0.21
189812,-0.06
189901,-0.62
189902,-0.19
189903,-0.23
189904,-0.05
189905,-0.55
189906,-0.66
189907,-0.22
189908,-0.17
189909,-0.04
189910,-0.49
189911,-0.24
189912,0.14
190001,-0.06
190002,0.63
190003,-0.09
190004,-0.17
190005,-0.22
190006,0.19
190007,-0.14
190008,-0.12
190009,-0.14
190010,0.10
190011,0.35
190012,0.13
190101,-0.20
190102,-0.19
190103,-0.44
190104,-0.38
190105,-0.10
190106,-0.05
190107,-0.44
190108,-0.20
190109,0.12
190110,-0.27
190111,0.07
190112,0.13
190201,-0.29
190202,0.06
190203,-0.13
190204,0.04
190205,0.09
190206,0.04
190207,0.01
190208,-0.49
190209,-0.22
190210,-0.37
190211,-0.19
190212,-0.15
190301,-0.20
190302,-0.06
190303,0.07
190304,-0.30
190305,-0.34
190306,-0.30
190307,-0.39
190308,-0.19
190309,-0.26
190310,-0.62
190311,-0.57
190312,-0.68
190401,-0.79
190402,-0.98
190403,-0.78
190404,-0.33
190405,-0.37
190406,-0.44
190407,-0.09
190408,-0.36
190409,-0.46
190410,-0.57
190411,-0.23
190412,-0.49
190501,-0.36
190502,-0.56
190503,-0.32
190504,0.00
190505,-0.19
190506,-0.20
190507,-0.26
190508,-0.53
190509,-0.51
190510,-0.30
190511,-0.21
190512,0.07
190601,0.28
190602,0.09
190603,-0.44
190604,-0.01
190605,0.13
190606,-0.10
190607,-0.07
190608,-0.30
190609,-0.36
190610,-0.21
190611,-0.47
190612,-0.59
190701,-0.52
190702,-0.42
190703,-0.42
190704,-0.59
190705,-0.72
190706,-0.41
190707,-0.36
190708,-0.34
190709,-0.30
190710,-0.29
190711,-0.51
190712,-0.51
190801,-0.32
190802,-0.59
190803,-0.52
190804,-0.58
190805,-0.57
190806,-0.56
190807,-0.25
190808,-0.58
190809,-0.46
190810,-0.55
190811,-0.28
190812,-0.16
190901,-0.52
190902,-0.53
190903,-0.46
190904,-0.58
190905,-0.75
190906,-0.37
190907,-0.46
190908,-0.10
190909,-0.26
190910,-0.22
190911,-0.40
190912,-0.69
191001,-0.43
191002,-0.40
191003,-0.90
191004,-0.35
191005,-0.30
191006,-0.14
191007,-0.25
191008,-0.02
191009,-0.16
191010,-0.69
191011,-0.64
191012,-0.59
191101,-0.52
191102,-0.61
191103,-0.76
191104,-0.69
191105,-0.63
191106,-1.07
191107,-0.50
191108,-0.52
191109,-0.65
191110,-0.30
191111,0.03
191112,0.06
191201,0.13
191202,0.10
191203,-0.03
191204,-0.29
191205,-0.13
191206,-0.29
191207,-0.45
191208,-0.19
191209,-0.37
191210,-0.06
191211,-0.08
191212,-0.03
191301,-0.22
191302,-0.16
191303,-0.58
191304,-0.09
191305,-0.64
191306,-0.47
191307,0.24
191308,0.03
191309,-0.35
191310,-0.07
191311,-0.05
191312,0.11
191401,0.08
191402,0.05
191403,-0.02
191404,-0.01
191405,-0.02
191406,0.03
191407,-0.03
191408,-0.10
191409,-0.06
191410,0.17
191411,-0.08
191412,-0.04
191501,-0.24
191502,0.22
191503,-0.10
191504,0.07
191505,-0.17
191506,-0.23
191507,0.12
191508,0.03
191509,-0.13
191510,-0.19
191511,-0.13
191512,-0.26
191601,-0.21
191602,-0.17
191603,-0.36
191604,-0.35
191605,-0.32
191606,-0.62
191607,-0.70
191608,-0.47
191609,-0.11
191610,-0.32
191611,-0.68
191612,-0.69
191701,-0.61
191702,-1.05
191703,-0.88
191704,-0.82
191705,-1.29
191706,-0.72
191707,-0.38
191708,-0.76
191709,-0.46
191710,-0.56
191711,-0.82
191712,-0.51
191801,-0.94
191802,-0.89
191803,-0.80
191804,-0.60
191805,-0.68
191806,-0.35
191807,-0.56
191808,-0.37
191809,-0.18
191810,-0.19
191811,-0.01
191812,-0.15
191901,0.05
191902,-0.21
191903,-0.17
191904,0.28
191905,0.05
191906,0.02
191907,-0.21
191908,-0.49
191909,-0.51
191910,-0.19
191911,-0.17
191912,0.05
192001,-0.20
192002,-0.31
192003,-0.42
192004,-0.38
192005,-0.28
192006,-0.48
192007,-0.35
192008,-0.34
192009,-0.12
192010,-0.29
192011,0.01
192012,-0.44
192101,-0.44
192102,-0.29
192103,-0.55
192104,-0.33
192105,0.22
192106,-0.21
192107,-0.44
192108,-0.47
192109,-0.29
192110,-0.42
192111,-0.21
192112,-0.27
192201,-0.27
192202,-0.24
192203,-0.20
192204,0.05
192205,-0.38
192206,-0.45
192207,-0.32
192208,-0.43
