Southern Hemisphere Land and Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
188001,0.02
188002,-0.01
188003,0.05
188004,-0.01
188005,-0.14
188006,-0.20
188007,-0.14
188008,0.00
188009,-0.05
188010,-0.15
188011,-0.04
188012,0.03
188101,-0.08
188102,-0.06
188103,0.09
188104,0.08
188105,0.07
188106,-0.05
188107,-0.07
188108,-0.08
188109,-0.07
188110,-0.04
188111,0.00
188112,0.07
188201,0.02
188202,0.05
188203,0.03
188204,0.02
188205,-0.02
188206,-0.05
188207,-0.03
188208,-0.08
188209,-0.05
188210,0.01
188211,-0.04
188212,-0.09
188301,0.01
188302,-0.03
188303,-0.03
188304,-0.04
188305,-0.07
188306,0.05
188307,-0.08
188308,-0.06
188309,-0.09
188310,-0.09
188311,-0.08
188312,-0.11
188401,-0.21
188402,-0.12
188403,-0.13
188404,-0.19
188405,-0.26
188406,-0.21
188407,-0.18
188408,-0.11
188409,-0.09
188410,-0.11
188411,-0.11
188412,-0.17
188501,-0.20
188502,-0.22
188503,-0.29
188504,-0.28
188505,-0.30
188506,-0.32
188507,-0.28
188508,-0.22
188509,-0.21
188510,-0.13
188511,-0.16
188512,-0.10
188601,-0.15
188602,-0.24
188603,-0.18
188604,-0.19
188605,-0.15
188606,-0.26
188607,-0.21
188608,-0.18
188609,-0.16
188610,-0.23
188611,-0.15
188612,-0.28
188701,-0.35
188702,-0.40
188703,-0.28
188704,-0.30
188705,-0.32
188706,-0.23
188707,-0.23
188708,-0.21
188709,-0.24
188710,-0.22
188711,-0.24
188712,-0.26
188801,-0.27
188802,-0.21
188803,-0.24
188804,-0.20
188805,-0.25
188806,-0.27
188807,-0.21
188808,-0.13
188809,-0.07
188810,0.02
188811,0.08
188812,0.11
188901,0.06
188902,-0.02
188903,0.10
188904,0.01
188905,0.00
188906,-0.11
188907,-0.12
188908,-0.20
188909,-0.16
188910,-0.09
188911,-0.04
188912,-0.04
189001,-0.21
189002,-0.26
189003,-0.29
189004,-0.32
189005,-0.33
189006,-0.27
189007,-0.29
189008,-0.34
189009,-0.38
189010,-0.36
189011,-0.27
189012,-0.15
189101,-0.20
189102,-0.28
189103,-0.26
189104,-0.21
189105,-0.11
189106,-0.21
189107,-0.27
189108,-0.27
189109,-0.26
189110,-0.18
189111,-0.18
189112,-0.16
189201,-0.13
189202,-0.04
189203,-0.10
189204,-0.22
189205,-0.21
189206,-0.33
189207,-0.35
189208,-0.27
189209,-0.18
189210,-0.11
189211,-0.05
189212,-0.21
189301,-0.13
189302,-0.19
189303,-0.07
189304,-0.25
189305,-0.17
189306,-0.34
189307,-0.18
189308,-0.21
189309,-0.17
189310,-0.15
189311,-0.11
189312,-0.08
189401,-0.15
189402,-0.20
189403,-0.28
189404,-0.32
189405,-0.32
189406,-0.32
189407,-0.29
189408,-0.23
189409,-0.22
189410,-0.21
189411,-0.09
189412,-0.12
189501,-0.18
189502,-0.12
189503,-0.18
189504,-0.21
189505,-0.25
189506,-0.20
189507,-0.20
189508,-0.14
189509,-0.18
189510,-0.13
189511,-0.19
189512,-0.05
189601,-0.06
189602,-0.05
189603,0.00
189604,0.01
189605,-0.11
189606,-0.18
189607,-0.06
189608,0.00
189609,-0.05
189610,0.06
189611,0.11
189612,0.17
189701,0.05
189702,0.10
189703,0.15
189704,0.09
189705,-0.05
189706,-0.04
189707,-0.09
189708,-0.13
189709,-0.09
189710,-0.14
189711,-0.14
189712,-0.10
189801,-0.10
189802,-0.19
189803,-0.35
189804,-0.37
189805,-0.31
189806,-0.26
189807,-0.32
189808,-0.30
189809,-0.24
189810,-0.33
189811,-0.22
189812,-0.16
189901,-0.19
189902,-0.10
189903,-0.15
189904,-0.21
189905,-0.17
189906,-0.20
189907,-0.16
189908,-0.06
189909,-0.02
189910,-0.15
189911,-0.11
189912,-0.06
190001,-0.12
190002,0.08
190003,-0.08
190004,-0.08
190005,-0.13
190006,-0.03
190007,-0.08
190008,-0.10
190009,-0.08
190010,-0.05
190011,-0.04
190012,-0.06
190101,-0.08
190102,-0.10
190103,-0.19
190104,-0.19
190105,-0.10
190106,-0.17
190107,-0.32
190108,-0.26
190109,-0.23
190110,-0.30
190111,-0.20
190112,-0.16
190201,-0.19
190202,-0.15
190203,-0.18
190204,-0.16
190205,-0.20
190206,-0.20
190207,-0.22
190208,-0.30
190209,-0.28
190210,-0.31
190211,-0.29
190212,-0.26
190301,-0.30
190302,-0.21
190303,-0.24
190304,-0.34
190305,-0.35
190306,-0.30
190307,-0.32
190308,-0.36
190309,-0.43
190310,-0.48
190311,-0.44
190312,-0.44
190401,-0.52
190402,-0.56
190403,-0.51
190404,-0.45
190405,-0.50
190406,-0.42
190407,-0.36
190408,-0.39
190409,-0.40
190410,-0.37
190411,-0.26
190412,-0.28
190501,-0.27
190502,-0.34
190503,-0.23
190504,-0.16
190505,-0.21
190506,-0.23
190507,-0.25
190508,-0.21
190509,-0.26
190510,-0.23
190511,-0.19
190512,-0.05
190601,0.02
190602,0.00
190603,-0.15
190604,-0.13
190605,-0.18
190606,-0.16
190607,-0.16
190608,-0.25
190609,-0.27
190610,-0.24
190611,-0.35
190612,-0.33
190701,-0.27
190702,-0.31
190703,-0.23
190704,-0.26
190705,-0.32
190706,-0.26
190707,-0.26
190708,-0.22
190709,-0.23
190710,-0.23
190711,-0.34
190712,-0.33
190801,-0.35
190802,-0.38
190803,-0.40
190804,-0.37
190805,-0.42
190806,-0.40
190807,-0.36
190808,-0.42
190809,-0.45
190810,-0.46
190811,-0.40
190812,-0.41
190901,-0.48
190902,-0.44
190903,-0.40
190904,-0.47
190905,-0.50
190906,-0.43
190907,-0.44
190908,-0.30
190909,-0.32
190910,-0.39
190911,-0.45
190912,-0.52
191001,-0.46
191002,-0.40
191003,-0.54
191004,-0.40
191005,-0.32
191006,-0.28
191007,-0.30
191008,-0.30
191009,-0.32
191010,-0.47
191011,-0.47
191012,-0.51
191101,-0.48
191102,-0.53
191103,-0.57
191104,-0.56
191105,-0.54
191106,-0.60
191107,-0.44
191108,-0.44
191109,-0.49
191110,-0.33
191111,-0.21
191112,-0.09
191201,-0.14
191202,-0.09
191203,-0.08
191204,-0.14
191205,-0.21
191206,-0.26
191207,-0.26
191208,-0.26
191209,-0.30
191210,-0.25
191211,-0.23
191212,-0.22
191301,-0.22
191302,-0.21
191303,-0.36
191304,-0.29
191305,-0.29
191306,-0.28
191307,-0.14
191308,-0.16
191309,-0.25
191310,-0.20
191311,-0.19
191312,-0.14
191401,-0.06
191402,-0.07
191403,-0.09
191404,-0.15
191405,-0.18
191406,-0.16
191407,-0.09
191408,-0.08
191409,-0.11
191410,-0.04
191411,0.04
191412,0.00
191501,-0.14
191502,0.06
191503,0.00
191504,0.08
191505,-0.07
191506,-0.15
191507,-0.13
191508,-0.18
191509,-0.18
191510,-0.18
191511,-0.14
191512,-0.18
191601,-0.16
191602,-0.19
191603,-0.13
191604,-0.23
191605,-0.27
191606,-0.41
191607,-0.39
191608,-0.27
191609,-0.20
191610,-0.21
191611,-0.43
191612,-0.42
191701,-0.58
191702,-0.61
191703,-0.56
191704,-0.43
191705,-0.49
191706,-0.35
191707,-0.15
191708,-0.04
191709,0.04
191710,-0.16
191711,-0.33
191712,-0.22
191801,-0.28
191802,-0.31
191803,-0.30
191804,-0.35
191805,-0.40
191806,-0.27
191807,-0.26
191808,-0.25
