Southern Hemisphere Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
188001,0.10
188002,0.04
188003,0.11
188004,0.05
188005,-0.08
188006,-0.19
188007,-0.10
188008,0.02
188009,0.04
188010,-0.05
188011,0.02
188012,0.07
188101,0.01
188102,-0.02
188103,0.12
188104,0.15
188105,0.13
188106,0.05
188107,0.01
188108,-0.03
188109,-0.03
188110,0.02
188111,0.06
188112,0.11
188201,0.06
188202,0.12
188203,0.09
188204,0.09
188205,0.05
188206,0.05
188207,0.06
188208,-0.04
188209,0.00
188210,0.02
188211,0.00
188212,-0.02
188301,0.06
188302,0.06
188303,0.01
188304,0.02
188305,0.00
188306,0.03
188307,-0.06
188308,-0.03
188309,-0.02
188310,-0.02
188311,-0.01
188312,-0.06
188401,-0.15
188402,-0.08
188403,-0.14
188404,-0.16
188405,-0.18
188406,-0.16
188407,-0.10
188408,-0.15
188409,-0.06
188410,-0.04
188411,-0.08
188412,-0.10
188501,-0.16
188502,-0.14
188503,-0.21
188504,-0.20
188505,-0.26
188506,-0.22
188507,-0.20
188508,-0.19
188509,-0.19
188510,-0.14
188511,-0.15
188512,-0.11
188601,-0.15
188602,-0.19
188603,-0.17
188604,-0.14
188605,-0.09
188606,-0.19
188607,-0.18
188608,-0.15
188609,-0.15
188610,-0.15
188611,-0.12
188612,-0.25
188701,-0.37
188702,-0.35
188703,-0.26
188704,-0.24
188705,-0.24
188706,-0.18
188707,-0.18
188708,-0.19
188709,-0.19
188710,-0.18
188711,-0.19
188712,-0.23
188801,-0.28
188802,-0.16
188803,-0.18
188804,-0.21
188805,-0.20
188806,-0.23
188807,-0.19
188808,-0.10
188809,-0.05
188810,0.06
188811,0.07
188812,0.10
188901,0.09
188902,0.00
188903,0.10
188904,0.05
188905,0.04
188906,-0.06
188907,-0.06
188908,-0.12
188909,-0.12
188910,-0.08
188911,-0.03
188912,-0.04
189001,-0.18
189002,-0.22
189003,-0.28
189004,-0.30
189005,-0.28
189006,-0.24
189007,-0.23
189008,-0.29
189009,-0.35
189010,-0.34
189011,-0.21
189012,-0.12
189101,-0.12
189102,-0.19
189103,-0.24
189104,-0.13
189105,-0.08
189106,-0.13
189107,-0.16
189108,-0.16
189109,-0.18
189110,-0.12
189111,-0.15
189112,-0.12
189201,-0.11
189202,-0.04
189203,-0.11
189204,-0.14
189205,-0.11
189206,-0.25
189207,-0.32
189208,-0.26
189209,-0.10
189210,-0.07
189211,-0.02
189212,-0.16
189301,-0.09
189302,-0.14
189303,-0.06
189304,-0.19
189305,-0.11
189306,-0.22
189307,-0.17
189308,-0.17
189309,-0.11
189310,-0.10
189311,-0.08
189312,-0.09
189401,-0.13
189402,-0.15
189403,-0.26
189404,-0.28
189405,-0.24
189406,-0.23
189407,-0.21
189408,-0.16
189409,-0.15
189410,-0.14
189411,-0.07
189412,-0.07
189501,-0.09
189502,-0.06
189503,-0.19
189504,-0.18
189505,-0.19
189506,-0.18
189507,-0.12
189508,-0.14
189509,-0.16
189510,-0.13
189511,-0.16
189512,-0.07
189601,-0.05
189602,-0.02
189603,0.02
189604,0.05
189605,-0.04
189606,-0.07
189607,0.00
189608,0.03
189609,0.02
189610,0.04
189611,0.15
189612,0.17
189701,0.10
189702,0.14
189703,0.18
189704,0.07
189705,-0.01
189706,-0.04
189707,-0.06
189708,-0.07
189709,-0.05
189710,-0.15
189711,-0.20
189712,-0.14
189801,-0.09
189802,-0.16
189803,-0.35
189804,-0.32
189805,-0.21
189806,-0.27
189807,-0.28
189808,-0.27
189809,-0.24
189810,-0.28
189811,-0.22
189812,-0.18
189901,-0.12
189902,-0.09
189903,-0.14
189904,-0.24
189905,-0.11
189906,-0.13
189907,-0.16
189908,-0.05
189909,-0.02
189910,-0.10
189911,-0.08
189912,-0.09
190001,-0.13
190002,-0.01
190003,-0.08
190004,-0.07
190005,-0.12
190006,-0.07
190007,-0.07
190008,-0.10
190009,-0.07
190010,-0.07
190011,-0.09
190012,-0.08
190101,-0.06
190102,-0.08
190103,-0.16
190104,-0.16
190105,-0.10
190106,-0.19
190107,-0.30
190108,-0.28
190109,-0.29
190110,-0.31
190111,-0.24
190112,-0.21
190201,-0.18
190202,-0.19
190203,-0.19
190204,-0.19
190205,-0.25
190206,-0.24
190207,-0.27
190208,-0.27
190209,-0.30
190210,-0.30
190211,-0.30
190212,-0.28
190301,-0.32
190302,-0.23
190303,-0.30
190304,-0.34
190305,-0.36
190306,-0.30
190307,-0.31
190308,-0.39
190309,-0.46
190310,-0.45
190311,-0.41
190312,-0.40
190401,-0.48
190402,-0.48
190403,-0.46
190404,-0.48
190405,-0.52
190406,-0.41
190407,-0.41
190408,-0.40
190409,-0.39
190410,-0.33
190411,-0.27
190412,-0.25
190501,-0.26
190502,-0.30
190503,-0.21
190504,-0.19
190505,-0.21
190506,-0.24
190507,-0.25
190508,-0.16
190509,-0.21
190510,-0.21
190511,-0.19
190512,-0.07
190601,-0.03
190602,-0.02
190603,-0.10
190604,-0.15
190605,-0.24
190606,-0.17
190607,-0.18
190608,-0.24
190609,-0.25
190610,-0.25
190611,-0.33
190612,-0.29
190701,-0.22
190702,-0.29
190703,-0.20
190704,-0.20
190705,-0.25
190706,-0.24
190707,-0.25
190708,-0.20
190709,-0.22
190710,-0.22
190711,-0.31
190712,-0.29
190801,-0.36
190802,-0.34
190803,-0.38
190804,-0.33
190805,-0.40
190806,-0.37
190807,-0.38
190808,-0.39
190809,-0.45
190810,-0.44
190811,-0.43
190812,-0.45
190901,-0.48
190902,-0.43
190903,-0.39
190904,-0.45
190905,-0.46
190906,-0.44
190907,-0.44
190908,-0.34
190909,-0.34
190910,-0.42
190911,-0.45
190912,-0.49
191001,-0.46
191002,-0.40
191003,-0.46
191004,-0.41
191005,-0.33
191006,-0.31
191007,-0.31
191008,-0.37
191009,-0.35
191010,-0.42
191011,-0.44
191012,-0.49
191101,-0.48
191102,-0.52
191103,-0.54
191104,-0.53
191105,-0.53
191106,-0.51
191107,-0.43
191108,-0.42
191109,-0.45
191110,-0.34
191111,-0.26
191112,-0.12
191201,-0.19
191202,-0.13
191203,-0.10
191204,-0.11
191205,-0.22
191206,-0.25
191207,-0.23
191208,-0.27
191209,-0.28
191210,-0.29
191211,-0.26
191212,-0.26
191301,-0.22
191302,-0.22
191303,-0.32
191304,-0.33
191305,-0.22
191306,-0.24
191307,-0.21
191308,-0.20
191309,-0.24
191310,-0.22
191311,-0.22
191312,-0.19
191401,-0.09
191402,-0.10
191403,-0.11
191404,-0.18
191405,-0.21
191406,-0.20
191407,-0.10
191408,-0.08
191409,-0.12
191410,-0.09
191411,0.06
191412,0.00
191501,-0.12
191502,0.02
191503,0.03
191504,0.08
191505,-0.05
191506,-0.13
191507,-0.19
191508,-0.23
191509,-0.19
191510,-0.18
191511,-0.15
191512,-0.17
191601,-0.15
191602,-0.20
191603,-0.08
191604,-0.20
191605,-0.26
191606,-0.36
191607,-0.32
191608,-0.22
191609,-0.22
191610,-0.19
191611,-0.37
191612,-0.35
191701,-0.58
191702,-0.49
191703,-0.49
191704,-0.34
191705,-0.27
191706,-0.25
191707,-0.09
191708,0.19
191709,0.17
191710,-0.07
191711,-0.20
191712,-0.14
191801,-0.13
191802,-0.16
191803,-0.17
191804,-0.27
191805,-0.32
191806,-0.25
191807,-0.18
191808,-0.22
191809,-0.08
191810,-0.03
191811,0.14
191812,-0.01
191901,0.06
191902,0.01
191903,-0.01
191904,-0.10
191905,-0.07
191906,-0.24
191907,-0.26
191908,-0.29
191909,-0.20
191910,-0.27
191911,-0.33
191912,-0.35
192001,-0.22
192002,-0.21
192003,-0.03
192004,-0.09
192005,-0.15
192006,-0.21
192007,-0.27
192008,-0.07
192009,0.02
192010,0.00
192011,-0.02
192012,-0.13
192101,-0.22
192102,-0.19
192103,-0.35
192104,-0.30
192105,-0.34
192106,-0.21
192107,-0.13
192108,-0.08
192109,-0.12
192110,0.01
192111,-0.10
192112,-0.15
192201,-0.23
192202,-0.20
192203,-0.12
192204,-0.25
192205,-0.40
192206,-0.36
192207,-0.26
192208,-0.25
192209,-0.27
192210,-0.21
192211,-0.18
192212,-0.20
192301,-0.31
192302,-0.30
192303,-0.29
192304,-0.20
192305,-0.19
192306,-0.24
192307,-0.24
192308,-0.28
192309,-0.33
192310,-0.29
192311,-0.15
192312,-0.07
192401,-0.09
192402,-0.14
192403,-0.12
192404,-0.16
192405,-0.18
192406,-0.27
192407,-0.29
192408,-0.38
192409,-0.40
192410,-0.34
192411,-0.48
192412,-0.44
192501,-0.38
192502,-0.34
192503,-0.29
192504,-0.28
192505,-0.27
192506,-0.23
192507,-0.15
192508,-0.15
192509,-0.16
192510,-0.14
192511,-0.06
192512,-0.11
192601,-0.13
192602,-0.23
192603,-0.13
192604,-0.10
192605,-0.06
192606,-0.13
192607,-0.22
192608,-0.15
192609,-0.21
192610,-0.23
192611,-0.28
192612,-0.24
192701,-0.19
192702,-0.20
192703,-0.26
192704,-0.23
192705,-0.21
192706,-0.24
192707,-0.20
192708,-0.17
192709,-0.20
192710,-0.23
192711,-0.20
192712,-0.27
192801,-0.27
192802,-0.23
192803,-0.26
192804,-0.22
192805,-0.25
192806,-0.25
192807,-0.20
192808,-0.19
192809,-0.26
192810,-0.24
192811,-0.25
192812,-0.28
192901,-0.38
192902,-0.38
192903,-0.40
192904,-0.34
192905,-0.37
192906,-0.30
192907,-0.30
192908,-0.33
192909,-0.29
192910,-0.27
192911,-0.22
192912,-0.31
193001,-0.45
193002,-0.35
193003,-0.32
193004,-0.23
193005,-0.17
193006,-0.18
193007,-0.22
193008,-0.20
193009,-0.17
193010,-0.10
193011,-0.04
193012,-0.13
193101,-0.13
193102,-0.15
193103,-0.12
193104,-0.12
193105,-0.14
193106,-0.15
193107,-0.16
193108,-0.13
193109,-0.15
193110,-0.20
193111,-0.23
193112,-0.19
193201,-0.14
193202,-0.08
193203,-0.09
193204,-0.19
193205,-0.16
193206,-0.24
193207,-0.23
193208,-0.31
193209,-0.28
193210,-0.32
193211,-0.27
193212,-0.27
193301,-0.24
193302,-0.24
193303,-0.29
193304,-0.26
193305,-0.27
193306,-0.26
